date,page,posted by,message,shares,likes,number of comments,pic,url,type,
"2015-11-27T23:09:37+0000","TransportAgency","Frank Chan","Why are bull bars legal in NZ?  They are all but fatal for cyclists when possums are the biggest animals on our roads?
","0","0","1","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDSFaV_PDQ1EH4E&w=130&h=130&url=http%3A%2F%2Fwww.stuff.co.nz%2Fcontent%2Fdam%2Fimages%2F1%2F8%2Fd%2F8%2Fo%2Fk%2Fimage.related.StuffLandscapeSixteenByNine.620x349.18d8mk.png%2F1448663718825.jpg&cfs=1","http://www.facebook.com/290135634463004/posts/752000101573181","post",
"2015-11-29T21:30:32+0000","TransportAgency","NZ Transport Agency","Hi Frank

Thank you for your comment about bullbars, We have a factsheet that has information around when it is legal and necessary to have a bull bar fitted to a vehicle.

Here is the link to factsheet 22 Bullbars: http://www.nzta.govt.nz/safety/vehicle-safety/vehicle-equipment/bullbars/ 

Thank you
^TF","0","0","0","","http://www.facebook.com/290135634463004/posts/752000101573181","comment",
"2015-11-27T21:04:54+0000","TransportAgency","Sercan Inal","for all South Australia written off vehicle cover ups ","0","0","0","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCMEDb4o0Eeg-37&w=130&h=130&url=http%3A%2F%2Fstatic.wpe.au.syrahost.com%2Fvar%2Fm_0%2F0c%2F0cc%2F22871%2F457884-IMG_2337.JPG&cfs=1","http://www.facebook.com/290135634463004/posts/454771768040307","post",
"2015-11-27T03:26:05+0000","TransportAgency","NZ Transport Agency","","0","3","0","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBykvZgVqViUjda&w=130&h=130&url=https%3A%2F%2Fscontent-syd1-1.xx.fbcdn.net%2Fhphotos-xtf1%2Fv%2Ft1.0-9%2F12314093_1692335784331463_2017353032269962833_n.jpg%3Foh%3D0ad0da50ff32378fb4c308fb9376fa0c%26oe%3D56E09507&cfs=1&sx=0&sy=4&sw=133&sh=133","http://www.facebook.com/290135634463004/posts/642493029227261","post",
"2015-11-25T08:30:03+0000","TransportAgency","Allan Marsh","How come no advance warning of significant roadworks at Pukerua Bay this evening? Travelling south, came around bend and traffic was stopped right in front of me. 

I figured there must have been an accident, but when we were moving again, eventually realised there were major roadworks happening and traffic was being diverted onto my side of road when I passed the stop/go guys. 

I realise that roadworks need to happen, but there was absolutely no warning that I was approaching these.","0","0","0","","http://www.facebook.com/290135634463004/posts/641899285953302","post",
"2015-11-23T04:10:02+0000","TransportAgency","Nikita Hall","Hi NZTA, we have an issue and I’m hoping you can help. On Friday evening I was driving to Taranaki from Hamilton and came across a vehicle which had crashed into a bank on the wrong side of the road on the final turn of Mt Messenger. Thinking I was first on the scene (their lights were on and engine was running) I grabbed my cell phone and ran over to check that the occupant(s) were okay. I tried to dial emergency services, but couldn’t because there is NO reception. Not a single bar! 

After scouring the roadside for the driver (in case they’d been thrown from the car) with two other vehicles which stopped to assist, I jumped in my car and drove towards New Plymouth to get reception to call the accident in, it was at least 25 minutes before I got cell coverage on Spark or Vodafone. Luckily in this instance the driver was uninjured and moments before I arrived, they had been picked up by another vehicle and driven towards New Plymouth to find cell phone coverage. 

Now obviously we can all probably improve our driving and take better care on the roads, however sometimes accidents happen and the most important thing is that the emergency services can be contacted. The ideal solution would be enabling cell phone coverage through this area, but I’m not super hopeful this will happen. In lieu of this, could the awesome people at NZTA look into installing phone boxes which connect via landline with emergency services in areas like this which lack cell coverage, or come up with a more inspired solution? Thanks for taking the time to read this!","0","0","0","","http://www.facebook.com/290135634463004/posts/641191272690770","post",
"2015-11-21T22:16:32+0000","TransportAgency","Matt Nottage","For a government agency you need to get your stuff together. I book my full licence 5 weeks ago to do yesterday in morrinsville and no tester turned up. I sat there for 3 hours waiting with 7 other people and when we finally got hold of someone they said no one was booked in for a test in morrinsville yesterday when we were all standing there with receipts and booking slips...and then told us off for using that number because it was only instructors to use....well no other numbers were working so...maybe you actually have your 0800 number for test problems operating when tests are suppose to be happening... 

I will be expecting compensation for the hour travel to and back from morrinsville and to re book my full licence at no cost and when it suits me not you  when I call tomorrow morning.","0","0","1","","http://www.facebook.com/290135634463004/posts/640790896064141","post",
"2015-11-23T02:42:27+0000","TransportAgency","NZ Transport Agency","Hi Matt, sorry to hear about this.  I understand we have sorted a new test for you.  Thanks ^CF","0","0","0","","http://www.facebook.com/290135634463004/posts/640790896064141","comment",
"2015-11-20T08:03:09+0000","TransportAgency","Steve Day","When will the NZ Transport Agency sort out the appaling state of SH3 ?, New Plymouth to TeKuiti, having driven this road hundreds of times over the last 25 years, its easily in the worst condition ever today. When does the travelling public get a fair go in Taranaki?. All we have heard for years is hollow promises.","0","1","0","","http://www.facebook.com/290135634463004/posts/640277566115474","post",
"2015-11-20T01:16:46+0000","TransportAgency","NZ Transport Agency","","0","14","3","https://fbcdn-photos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-0/c111.0.130.130/p130x130/12241476_640199386123292_6483080186511593531_n.jpg?oh=6ba0ce1a83e4fc337d4c1be745caa6c6&oe=56E552C9&__gda__=1457889678_01477b5ebb81dcc60bf7e544db495a50","http://www.facebook.com/290135634463004/posts/918275771593946","post",
